day,temp
1,16.827255519027783
2,15.781328525360694
3,16.57574141999065
4,16.514631912678965
5,20.205968878058744
6,18.094652318103897
7,22.628987535436263
8,18.8922659292658
9,19.208636932775573
10,5.570438701648278
11,19.273589848767905
12,20.356181159828427
13,24.304065492918507
14,18.262606115054574
15,24.951643432302287
16,21.69099712653625
17,23.49565576972594
18,27.432765534226437
19,23.521629327918607
20,22.00829345804402
21,27.130303302071596
22,25.821835758666396
23,25.13518534718069
24,11.257888632926313
25,25.134899390723024
26,27.65078025440554
27,23.354421504941637
28,26.76256267882954
29,25.806539526299538
30,23.304207933623633
31,24.560570779874247
32,26.89875327352307
33,25.116781868262276
34,22.726655664186456
35,23.152708213056606
36,21.77469220258233
37,20.84959235634055
38,38.702173997858694
39,20.120086006745073
40,33.70817653204689
41,21.95450885060397
42,20.5287274479808
43,21.681565380658867
44,20.558467173200206
45,17.419475971791133
46,17.719739173612908
47,16.155594705350445
48,16.098451701387116
49,14.693534386835543
50,14.775589844620672
51,13.352330368040203
52,11.965331776326439
53,7.947536797660736
54,11.033514342418318
55,13.690660401744097
56,10.14449348242448
57,-5.962963361484965
58,13.407434860903557
59,10.024897369145714
60,10.328135234085567
61,-7.978034643372035
62,-8.8807851193124
63,17.312316970151006
64,11.15052404266517
65,8.96892942469862
66,7.4056710438889155
67,8.182322806188225
68,6.485713769848495
69,-10.0435034951194
70,4.1101339615994394
71,8.616655702757438
72,5.182855403870666
73,3.520487027965012
74,5.363500728306529
75,3.6030166191274953
76,7.173534502648468
77,1.677355604966574
78,4.468718644113831
79,7.133039220794657
80,5.979590904415844
81,4.239657931079217
82,5.947874847783967
83,5.580717673676501
84,8.44973124486586
85,8.419166225039863
86,7.595509251311329
87,9.038936960713789
88,10.19106539873217
89,6.248764240824837
90,9.757838390693887
91,8.429211650586245
92,9.01039809792148
93,8.297263264767833
94,10.794012987217304
95,13.177521597397158
96,12.759066713658402
97,-1.0435595788727987
98,12.44612640825858
99,9.307079723134175
100,11.609882927853363
